epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6984,1.95358,3.77232,1.56647,0.03109,0.14849,0.02498,0.01333,1.75671,3.66549,1.55742,5.383e-05,5.383e-05,5.383e-05
2,52.1626,1.71201,3.71144,1.45791,0.02173,0.23027,0.02377,0.01401,1.57243,4.00598,1.58065,0.000110782,0.000110782,0.000110782
3,78.5095,1.79465,3.71646,1.49761,0.02301,0.236,0.02435,0.01455,1.58054,4.03114,1.6053,0.000162862,0.000162862,0.000162862
4,105.096,1.82764,3.70558,1.49688,0.02523,0.25507,0.0256,0.01546,1.60688,3.95562,1.58248,0.000210069,0.000210069,0.000210069
5,131.116,1.75922,3.62199,1.44944,0.0254,0.25731,0.02389,0.01335,1.6378,4.15343,1.67783,0.000252404,0.000252404,0.000252404
