epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6007,3.22702,4.56751,2.8929,0.00085,0.00452,0.00043,0.00014,3.05359,4.47591,2.7342,5.383e-05,5.383e-05,5.383e-05
2,77.8861,2.81827,4.53477,2.58458,0.00259,0.02521,0.00157,0.00054,2.17274,4.54374,2.20162,0.00010393,0.00010393,0.00010393
3,114.048,2.45823,4.42718,2.26811,0.00632,0.06071,0.00374,0.00106,2.07039,4.496,2.01679,0.00014185,0.00014185,0.00014185
4,148.513,2.33719,4.38083,2.05136,0.00632,0.06071,0.00374,0.00106,2.00835,4.58434,2.0463,0.000167588,0.000167588,0.000167588
5,183.462,2.12662,4.2717,1.89356,0.00918,0.06415,0.00527,0.00116,1.90643,4.41289,1.80345,0.000181146,0.000181146,0.000181146
6,219.396,2.00077,4.22229,1.77879,0.0091,0.09784,0.00578,0.00145,1.78323,4.28594,1.66036,0.000182522,0.000182522,0.000182522
7,254.638,2.0368,4.17629,1.72857,0.00702,0.09932,0.00457,0.0012,1.73142,4.28544,1.63166,0.000171718,0.000171718,0.000171718
8,294.613,1.95407,4.14375,1.69254,0.00814,0.11884,0.00595,0.00152,1.6673,4.27199,1.5944,0.000148732,0.000148732,0.000148732
9,331.456,1.87247,4.12241,1.6636,0.01179,0.15556,0.01041,0.00285,1.65269,4.24074,1.57739,0.000113566,0.000113566,0.000113566
10,368.107,1.85593,4.10197,1.65708,0.0185,0.15993,0.01414,0.00363,1.65556,4.23924,1.5857,6.62186e-05,6.62186e-05,6.62186e-05
