epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5354,1.74364,3.28507,1.41735,0.08351,0.16089,0.05159,0.02823,1.69959,3.29016,1.46193,5.383e-05,5.383e-05,5.383e-05
2,51.3148,1.57301,3.22449,1.34713,0.03708,0.38092,0.04636,0.02594,1.52679,3.65169,1.42196,0.000113066,0.000113066,0.000113066
3,75.6861,1.63337,3.22076,1.37433,0.03677,0.34504,0.04348,0.02294,1.59351,3.71434,1.48105,0.000169866,0.000169866,0.000169866
4,101.878,1.65316,3.23167,1.3677,0.03917,0.39987,0.04805,0.02711,1.58471,3.44165,1.42031,0.00022423,0.00022423,0.00022423
5,126.967,1.58746,3.14189,1.32875,0.03403,0.3403,0.03756,0.01869,1.55385,3.82708,1.49187,0.000276157,0.000276157,0.000276157
6,151.636,1.58095,3.16667,1.35973,0.03618,0.37203,0.04675,0.02541,1.54744,3.60527,1.51469,0.000325648,0.000325648,0.000325648
7,178.98,1.53819,3.09146,1.30432,0.06013,0.21878,0.05204,0.02838,1.55909,3.42298,1.43961,0.000372704,0.000372704,0.000372704
8,206.376,1.54678,3.06717,1.30999,0.04127,0.41387,0.05171,0.02318,1.73461,3.39708,1.44336,0.000417322,0.000417322,0.000417322
9,232.547,1.50388,3.07492,1.3035,0.04308,0.36312,0.05278,0.03123,1.6792,3.3836,1.39205,0.000459505,0.000459505,0.000459505
10,258.09,1.51615,3.05923,1.29369,0.0464,0.24242,0.04093,0.02077,1.90484,3.44522,1.53868,0.000499252,0.000499252,0.000499252
11,283.527,1.55625,3.072,1.30555,0.04489,0.43856,0.05297,0.03245,1.5033,3.23288,1.25955,0.000536562,0.000536562,0.000536562
12,309.153,1.55421,3.02182,1.29621,0.04693,0.46848,0.05752,0.0303,1.56861,3.22119,1.31467,0.000571436,0.000571436,0.000571436
13,335.196,1.58862,3.08606,1.33187,0.06311,0.30225,0.06272,0.03733,1.49531,3.18911,1.31748,0.000586286,0.000586286,0.000586286
14,365.446,1.61549,3.0277,1.31889,0.08292,0.2414,0.07098,0.03589,1.68425,3.2259,1.42851,0.000571059,0.000571059,0.000571059
15,394.349,1.67274,3.07976,1.42891,0.07182,0.26433,0.06845,0.03526,1.61187,3.18322,1.36995,0.000555833,0.000555833,0.000555833
16,422.801,1.60446,3.09362,1.41309,0.05067,0.36191,0.0643,0.03559,1.5349,3.17622,1.32888,0.000540607,0.000540607,0.000540607
17,450.643,1.61205,2.99754,1.36986,0.07818,0.25417,0.07735,0.04563,1.51834,3.18311,1.34186,0.000525381,0.000525381,0.000525381
18,478.114,1.60457,2.94175,1.31108,0.10282,0.1914,0.07986,0.04818,1.474,3.09965,1.32238,0.000510155,0.000510155,0.000510155
19,506.218,1.62041,2.95486,1.33761,0.10845,0.14412,0.06888,0.03605,1.67651,3.18112,1.47668,0.000494928,0.000494928,0.000494928
20,533.604,1.5546,2.93739,1.29965,0.12736,0.13029,0.07063,0.03668,1.61686,3.22375,1.48389,0.000479702,0.000479702,0.000479702
21,560.036,1.55807,2.96585,1.31495,0.10092,0.22065,0.08236,0.04379,1.60843,3.1334,1.44007,0.000464476,0.000464476,0.000464476
22,586.776,1.4712,2.86607,1.24503,0.09901,0.21146,0.07919,0.0445,1.55931,3.15317,1.43307,0.00044925,0.00044925,0.00044925
23,614.183,1.51273,2.89149,1.27572,0.12035,0.20064,0.08595,0.04892,1.4957,3.07778,1.3904,0.000434024,0.000434024,0.000434024
24,643.031,1.51234,2.86481,1.28122,0.13508,0.20117,0.09436,0.05491,1.47763,2.94681,1.33496,0.000418797,0.000418797,0.000418797
25,671.024,1.57837,2.89914,1.30156,0.12883,0.21204,0.09607,0.05341,1.52283,2.91853,1.32124,0.000403571,0.000403571,0.000403571
26,697.828,1.51665,2.81938,1.24359,0.13696,0.21037,0.10689,0.0648,1.46995,2.89256,1.27202,0.000388345,0.000388345,0.000388345
27,723.853,1.44711,2.82424,1.24751,0.13681,0.23495,0.10708,0.0648,1.46918,2.91915,1.28371,0.000373119,0.000373119,0.000373119
28,749.705,1.44606,2.84596,1.25299,0.12752,0.24298,0.10515,0.05941,1.47203,2.9575,1.30909,0.000357893,0.000357893,0.000357893
29,775.647,1.4857,2.81566,1.25811,0.12412,0.24116,0.10657,0.06092,1.43757,2.94566,1.29697,0.000342666,0.000342666,0.000342666
30,802.21,1.42632,2.80647,1.22215,0.15178,0.18764,0.11166,0.06925,1.37005,2.88733,1.25647,0.00032744,0.00032744,0.00032744
31,828.881,1.43044,2.77284,1.22995,0.1575,0.19206,0.11713,0.06994,1.38561,2.90623,1.28364,0.000312214,0.000312214,0.000312214
32,856.234,1.46378,2.7454,1.23274,0.16715,0.20625,0.12178,0.07136,1.39685,2.85747,1.28681,0.000296988,0.000296988,0.000296988
33,883.59,1.4463,2.8123,1.25961,0.1655,0.21597,0.12762,0.07552,1.35351,2.82578,1.26456,0.000281762,0.000281762,0.000281762
34,911.817,1.44261,2.77577,1.25315,0.17412,0.2198,0.12366,0.07683,1.31917,2.83153,1.27133,0.000266535,0.000266535,0.000266535
35,941.091,1.39273,2.72098,1.19698,0.15912,0.21367,0.12162,0.06972,1.39416,2.84221,1.30115,0.000251309,0.000251309,0.000251309
36,970.231,1.39782,2.71314,1.20361,0.16149,0.21559,0.12405,0.07399,1.39785,2.83545,1.29309,0.000236083,0.000236083,0.000236083
37,1000.32,1.35692,2.72371,1.21688,0.15511,0.22006,0.1252,0.07722,1.31987,2.82261,1.26028,0.000220857,0.000220857,0.000220857
38,1029.39,1.39347,2.73331,1.23776,0.15294,0.23686,0.12752,0.07646,1.31611,2.81854,1.26094,0.000205631,0.000205631,0.000205631
39,1056.29,1.38453,2.73076,1.22232,0.16186,0.25135,0.13387,0.08393,1.27908,2.77945,1.21966,0.000190404,0.000190404,0.000190404
40,1083.46,1.33484,2.70458,1.19762,0.15985,0.25338,0.13469,0.07758,1.38764,2.78229,1.2434,0.000175178,0.000175178,0.000175178
41,1111.35,1.51806,2.99449,1.37041,0.15844,0.2463,0.13492,0.07129,1.45601,2.78371,1.2669,0.000159952,0.000159952,0.000159952
