epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8807,3.14532,4.5792,2.72778,0.00011,0.00177,6e-05,4e-05,3.10346,4.59136,2.96888,5.383e-05,5.383e-05,5.383e-05
2,50.1715,2.7993,4.52049,2.43989,0.00104,0.01301,0.00054,0.00021,2.25333,4.64527,2.47554,0.000110782,0.000110782,0.000110782
3,76.7954,2.42552,4.42122,2.12882,0.00304,0.02444,0.00165,0.0008,2.1398,4.65217,2.30707,0.000162862,0.000162862,0.000162862
4,104.048,2.32596,4.34263,1.93736,0.00579,0.0575,0.00412,0.0018,1.9445,4.64748,2.13288,0.000210069,0.000210069,0.000210069
5,130.481,2.16805,4.26305,1.81099,0.00812,0.08613,0.00735,0.00442,1.77234,4.62607,2.00237,0.000252404,0.000252404,0.000252404
6,156.098,2.05913,4.18821,1.74927,0.0104,0.10799,0.00923,0.00388,1.74604,4.59603,1.95642,0.000289867,0.000289867,0.000289867
7,181.555,1.96257,4.13715,1.65282,0.01013,0.10647,0.00857,0.00305,2.15578,4.58939,2.27074,0.000322457,0.000322457,0.000322457
8,206.793,1.98033,4.10857,1.67518,0.01102,0.1107,0.01002,0.00329,2.15212,4.55484,2.26218,0.000350175,0.000350175,0.000350175
9,231.723,1.90584,4.0533,1.64247,0.01123,0.11027,0.01016,0.00306,2.62743,4.56753,2.79972,0.00037302,0.00037302,0.00037302
10,256.431,1.99375,4.06705,1.65312,0.01205,0.11808,0.01024,0.00335,2.1325,4.52944,2.23094,0.000390993,0.000390993,0.000390993
11,282.191,1.93785,4.01341,1.58196,0.01577,0.14725,0.01118,0.00449,1.71686,4.43114,1.78802,0.000404094,0.000404094,0.000404094
12,307.775,1.94876,3.98626,1.59126,0.01946,0.19133,0.01649,0.00679,2.00071,4.47877,2.09355,0.000412322,0.000412322,0.000412322
13,333.23,1.95284,3.98728,1.6238,0.02103,0.20934,0.02043,0.0076,2.42889,4.5128,2.59141,0.000403571,0.000403571,0.000403571
14,358.73,2.01995,3.94063,1.61203,0.02075,0.19797,0.02146,0.00831,2.26651,4.31932,2.24432,0.000373119,0.000373119,0.000373119
15,384.352,1.90905,3.89172,1.62354,0.02036,0.20012,0.01889,0.00701,2.25087,4.16401,2.19048,0.000342666,0.000342666,0.000342666
16,410.048,1.81912,3.93887,1.63888,0.02236,0.2122,0.02245,0.00989,1.82596,3.88206,1.67843,0.000312214,0.000312214,0.000312214
17,438.376,1.83722,3.8918,1.63219,0.03101,0.11593,0.01943,0.00802,1.71218,3.7238,1.53043,0.000281762,0.000281762,0.000281762
18,467.058,1.84843,3.88369,1.63668,0.02321,0.09107,0.01613,0.00797,1.75008,3.74379,1.56365,0.000251309,0.000251309,0.000251309
19,497.376,1.72838,3.80826,1.52787,0.01912,0.09485,0.01487,0.00915,1.69632,3.75899,1.54085,0.000220857,0.000220857,0.000220857
20,527.123,1.73236,3.77005,1.50418,0.01996,0.11398,0.01531,0.00901,1.63623,3.72543,1.50334,0.000190404,0.000190404,0.000190404
21,556.052,1.73664,3.78069,1.53972,0.02381,0.12379,0.01623,0.00854,1.65907,3.71277,1.531,0.000159952,0.000159952,0.000159952
22,585.155,1.74623,3.75177,1.51844,0.03775,0.07985,0.01915,0.0102,1.64642,3.68891,1.51293,0.0001295,0.0001295,0.0001295
23,613.924,1.68262,3.70919,1.50007,0.033,0.10033,0.01977,0.01146,1.6054,3.65869,1.47448,9.90472e-05,9.90472e-05,9.90472e-05
24,642.854,1.72325,3.68928,1.48796,0.03499,0.10334,0.02152,0.01248,1.58324,3.62348,1.44524,6.85948e-05,6.85948e-05,6.85948e-05
25,671.19,1.77207,3.70318,1.54191,0.03553,0.11293,0.02294,0.01349,1.57344,3.59992,1.43453,3.81424e-05,3.81424e-05,3.81424e-05
